timestamp,model,mode,bars,pop,generations,w_rules,w_mlp,seed,out_midi,best_fitness,exit_code
2025-11-10T05:00:36,mlp_easy_2N.pkl,major,16,100,150,0.800,0.200,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.879800,0
2025-11-10T05:16:57,mlp_easy_2N.pkl,major,16,100,150,0.600,0.400,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.908900,0
2025-11-10T05:32:23,mlp_easy_2N.pkl,major,16,100,150,0.400,0.600,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.935800,0
2025-11-10T05:48:50,mlp_easy_2N.pkl,major,16,100,150,0.200,0.800,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.966900,0
2025-11-10T06:06:00,mlp_easy_2N.pkl,major,16,100,150,0.000,1.000,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999800,0
2025-11-10T06:22:03,mlp_easy_3N.pkl,minor,8,60,90,1.000,0.000,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.872200,0
2025-11-10T06:25:22,mlp_easy_3N.pkl,minor,8,60,90,0.800,0.200,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.888700,0
2025-11-10T06:28:48,mlp_easy_3N.pkl,minor,8,60,90,0.600,0.400,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.915100,0
2025-11-10T06:32:19,mlp_easy_3N.pkl,minor,8,60,90,0.400,0.600,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.935900,0
2025-11-10T06:35:39,mlp_easy_3N.pkl,minor,8,60,90,0.200,0.800,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.880200,0
2025-11-10T06:39:10,mlp_easy_3N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,0.909000,0
2025-11-10T06:43:06,mlp_easy_3N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-10T06:58:11,mlp_easy_3N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.882400,0
2025-11-10T07:15:07,mlp_easy_3N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.912300,0
2025-11-10T07:30:32,mlp_easy_3N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.937200,0
2025-11-10T07:47:02,mlp_easy_3N.pkl,minor,16,100,150,0.200,0.800,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.969300,0
2025-11-10T08:03:23,mlp_easy_3N.pkl,minor,16,100,150,0.000,1.000,42,out\mlp_easy_3N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999500,0
2025-11-10T08:20:26,mlp_easy_3N.pkl,major,8,60,90,1.000,0.000,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.874600,0
2025-11-10T08:23:43,mlp_easy_3N.pkl,major,8,60,90,0.800,0.200,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.882900,0
2025-11-10T08:27:09,mlp_easy_3N.pkl,major,8,60,90,0.600,0.400,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.897100,0
2025-11-10T08:30:33,mlp_easy_3N.pkl,major,8,60,90,0.400,0.600,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.939400,0
2025-11-10T08:33:59,mlp_easy_3N.pkl,major,8,60,90,0.200,0.800,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.965500,0
2025-11-10T08:37:22,mlp_easy_3N.pkl,major,8,60,90,0.000,1.000,42,out\mlp_easy_3N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid,0.996500,0
2025-11-10T08:41:11,mlp_easy_3N.pkl,major,16,100,150,1.000,0.000,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.844600,0
2025-11-10T08:57:21,mlp_easy_3N.pkl,major,16,100,150,0.800,0.200,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.881600,0
2025-11-10T09:15:22,mlp_easy_3N.pkl,major,16,100,150,0.600,0.400,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.908300,0
2025-11-10T09:33:57,mlp_easy_3N.pkl,major,16,100,150,0.400,0.600,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.936700,0
2025-11-10T09:51:27,mlp_easy_3N.pkl,major,16,100,150,0.200,0.800,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.968200,0
2025-11-10T10:10:06,mlp_easy_3N.pkl,major,16,100,150,0.000,1.000,42,out\mlp_easy_3N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999600,0
2025-11-10T10:28:22,mlp_hard_1N.pkl,minor,8,60,90,1.000,0.000,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.872200,0
2025-11-10T10:31:59,mlp_hard_1N.pkl,minor,8,60,90,0.800,0.200,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.854900,0
2025-11-10T10:35:41,mlp_hard_1N.pkl,minor,8,60,90,0.600,0.400,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.918000,0
2025-11-10T10:39:14,mlp_hard_1N.pkl,minor,8,60,90,0.400,0.600,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.932400,0
2025-11-10T10:42:50,mlp_hard_1N.pkl,minor,8,60,90,0.200,0.800,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.952300,0
2025-11-10T10:46:25,mlp_hard_1N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_hard_1N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T10:50:00,mlp_hard_1N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-10T11:07:03,mlp_hard_1N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.858000,0
2025-11-10T11:24:02,mlp_hard_1N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.889800,0
2025-11-10T11:41:20,mlp_hard_1N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.933800,0
2025-11-10T11:58:20,mlp_hard_1N.pkl,minor,16,100,150,0.200,0.800,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.965100,0
2025-11-10T12:14:48,mlp_hard_1N.pkl,minor,16,100,150,0.000,1.000,42,out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T12:32:50,mlp_hard_1N.pkl,major,8,60,90,1.000,0.000,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.874600,0
2025-11-10T12:36:37,mlp_hard_1N.pkl,major,8,60,90,0.800,0.200,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.875400,0
2025-11-10T12:41:15,mlp_hard_1N.pkl,major,8,60,90,0.600,0.400,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.557400,0
2025-11-10T12:45:35,mlp_hard_1N.pkl,major,8,60,90,0.400,0.600,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.401100,0
2025-11-10T12:50:10,mlp_hard_1N.pkl,major,8,60,90,0.200,0.800,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.968600,0
2025-11-10T12:54:27,mlp_hard_1N.pkl,major,8,60,90,0.000,1.000,42,out\mlp_hard_1N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T12:58:44,mlp_hard_1N.pkl,major,16,100,150,1.000,0.000,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.844600,0
2025-11-10T13:16:35,mlp_hard_1N.pkl,major,16,100,150,0.800,0.200,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.867400,0
2025-11-10T13:32:40,mlp_hard_1N.pkl,major,16,100,150,0.600,0.400,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.892900,0
2025-11-10T13:50:37,mlp_hard_1N.pkl,major,16,100,150,0.400,0.600,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.933200,0
2025-11-10T14:07:15,mlp_hard_1N.pkl,major,16,100,150,0.200,0.800,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.963100,0
2025-11-10T14:24:39,mlp_hard_1N.pkl,major,16,100,150,0.000,1.000,42,out\mlp_hard_1N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.092400,0
2025-11-10T14:42:02,mlp_hard_2N.pkl,minor,8,60,90,1.000,0.000,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.872200,0
2025-11-10T14:45:33,mlp_hard_2N.pkl,minor,8,60,90,0.800,0.200,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.894500,0
2025-11-10T14:49:00,mlp_hard_2N.pkl,minor,8,60,90,0.600,0.400,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.922200,0
2025-11-10T14:52:23,mlp_hard_2N.pkl,minor,8,60,90,0.400,0.600,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.941900,0
2025-11-10T14:55:45,mlp_hard_2N.pkl,minor,8,60,90,0.200,0.800,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.971400,0
2025-11-10T16:24:35,mlp_hard_2N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_hard_2N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-10T16:27:35,mlp_hard_2N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-10T16:43:04,mlp_hard_2N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.886000,0
2025-11-10T16:59:50,mlp_hard_2N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.906700,0
2025-11-10T17:16:38,mlp_hard_2N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.936000,0
2025-11-10T17:36:15,mlp_hard_2N.pkl,minor,16,100,150,0.200,0.800,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.968700,0
2025-11-10T17:58:34,mlp_hard_2N.pkl,minor,16,100,150,0.000,1.000,42,out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999900,0
2025-11-10T18:20:53,mlp_hard_2N.pkl,major,8,60,90,1.000,0.000,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.874600,0
2025-11-10T18:25:25,mlp_hard_2N.pkl,major,8,60,90,0.800,0.200,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.890700,0
2025-11-10T18:29:52,mlp_hard_2N.pkl,major,8,60,90,0.600,0.400,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.914500,0
2025-11-10T18:33:16,mlp_hard_2N.pkl,major,8,60,90,0.400,0.600,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.947400,0
2025-11-10T18:36:25,mlp_hard_2N.pkl,major,8,60,90,0.200,0.800,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.970200,0
2025-11-10T18:39:54,mlp_hard_2N.pkl,major,8,60,90,0.000,1.000,42,out\mlp_hard_2N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid,0.999900,0
2025-11-10T18:43:08,mlp_hard_2N.pkl,major,16,100,150,1.000,0.000,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.844600,0
2025-11-10T18:59:24,mlp_hard_2N.pkl,major,16,100,150,0.800,0.200,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.882000,0
2025-11-10T19:16:08,mlp_hard_2N.pkl,major,16,100,150,0.600,0.400,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.911400,0
2025-11-10T19:32:39,mlp_hard_2N.pkl,major,16,100,150,0.400,0.600,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.940200,0
2025-11-10T19:46:55,mlp_hard_2N.pkl,major,16,100,150,0.200,0.800,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.966500,0
2025-11-10T20:03:03,mlp_hard_2N.pkl,major,16,100,150,0.000,1.000,42,out\mlp_hard_2N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999800,0
2025-11-10T20:27:33,mlp_hard_3N.pkl,minor,8,60,90,1.000,0.000,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.872200,0
2025-11-10T20:33:37,mlp_hard_3N.pkl,minor,8,60,90,0.800,0.200,42,out\mlp_hard_3N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.894200,0
